
[Name]
fluid

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity u [ m s^-1 ], Velocity u_Scalar [ m s^-1 ], Velocity v [ m s^-1 ], Velocity v_Scalar [ m s^-1 ], Velocity w [ m s^-1 ], X [ m ], Y [ m ], Z [ m ]
5.05460024e-01, 2.61284807e-03, 5.00000024e-04, 1.28531276e-04, 4.20367206e-03, 4.11287090e-03, 4.56131602e-06, 4.42858573e-06, 0.00000000e+00, 5.05460024e-01, 2.61284807e-03, 5.00000024e-04
5.02919972e-01, 2.61281081e-03, 5.00000024e-04, 2.60102883e-04, 4.21131821e-03, 4.12034197e-03, 4.33542209e-06, 4.20587412e-06, 0.00000000e+00, 5.02919972e-01, 2.61281081e-03, 5.00000024e-04
5.00379980e-01, 2.61277333e-03, 5.00000024e-04, 3.89182242e-04, 4.21685912e-03, 4.12572920e-03, 4.68416329e-06, 4.55150121e-06, 0.00000000e+00, 5.00379980e-01, 2.61277333e-03, 5.00000024e-04
4.97839987e-01, 2.61273608e-03, 5.00000024e-04, 5.20548958e-04, 4.22364986e-03, 4.13236255e-03, 4.69067254e-06, 4.55754434e-06, 0.00000000e+00, 4.97839987e-01, 2.61273608e-03, 5.00000024e-04
4.95299995e-01, 2.61269859e-03, 5.00000024e-04, 6.51467068e-04, 4.23013885e-03, 4.13869275e-03, 4.77322965e-06, 4.64036793e-06, 0.00000000e+00, 4.95299995e-01, 2.61269859e-03, 5.00000024e-04
4.92760003e-01, 2.61266134e-03, 5.00000024e-04, 7.83147465e-04, 4.23688255e-03, 4.14528325e-03, 4.78182574e-06, 4.64974437e-06, 0.00000000e+00, 4.92760003e-01, 2.61266134e-03, 5.00000024e-04
4.90220010e-01, 2.61262385e-03, 5.00000024e-04, 9.15072276e-04, 4.24358994e-03, 4.15183837e-03, 4.79838172e-06, 4.66723714e-06, 0.00000000e+00, 4.90220010e-01, 2.61262385e-03, 5.00000024e-04
4.87679988e-01, 2.61258660e-03, 5.00000024e-04, 1.04745908e-03, 4.25037369e-03, 4.15845821e-03, 4.80152812e-06, 4.67135624e-06, 0.00000000e+00, 4.87679988e-01, 2.61258660e-03, 5.00000024e-04
4.85139996e-01, 2.61254911e-03, 5.00000024e-04, 1.18020503e-03, 4.25718026e-03, 4.16510133e-03, 4.80616882e-06, 4.67699056e-06, 0.00000000e+00, 4.85139996e-01, 2.61254911e-03, 5.00000024e-04
4.82600003e-01, 2.61251186e-03, 5.00000024e-04, 1.31334737e-03, 4.26403247e-03, 4.17179521e-03, 4.80911876e-06, 4.68092367e-06, 0.00000000e+00, 4.82600003e-01, 2.61251186e-03, 5.00000024e-04
4.80060011e-01, 2.61247437e-03, 5.00000024e-04, 1.44686433e-03, 4.27092146e-03, 4.17852262e-03, 4.81305051e-06, 4.68581220e-06, 0.00000000e+00, 4.80060011e-01, 2.61247437e-03, 5.00000024e-04
